,id_str,text,created_hr,created_dotw,calltime,day,set,call,favorite_count,retweet_count,place_names,place_ids,sources,influence_score,in_reply_to_status_id_str,in_reply_to_user_id_str,lang,is_quote_status,retweeted,truncated,user_id_str,user_name,user_description,user_location,user_since,favorites_counts,followers_count,friends_count,listed_count,profile_background_color,profile_text_color,user_screen_name,statuses_count,verified,num_tags,num_media,num_symbols,num_urls,num_user_mentions
29,1094937802385645568,I feel like temple aggressively tries to ignore its commuter students as much as humanly possible,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,13.750000000000002,,,en,False,False,False,546570234,Mads,they/them. cowboy style coffee.,go birds,6,15113,538,412,4,C0DEED,333333,MaddyBuffardi,29564,False,0,0,0,0,0
30,1094937860350902272,"Wishing a happy birthday to one of the most talented, strong, courageous, resilient, humble, classy, and admirable… https://t.co/G8wqTktVXw",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,22.200000000000003,,,en,False,False,True,891305130771062784,🐼🤘Emily🌕🌊,"Major metalhead and lover of music, panda fan🐼, equestrian🐴, photographer📸, fitness lover💪, @nbcsvu fanatic, #ChiHard, kindness❤️ #TeamInstinct","Philadelphia, PA",1,67647,834,1073,18,F5F8FA,333333,OceansWhisper94,40129,False,0,0,0,1,0
31,1094937871579037696,"@Lrihendry @AppSame Fascist Fem

Delusional Superiority 

Hatful Sluttery

Anti Feminine

Coital castrations 

Vagina manipulators",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,10.475000000000001,1094727669772619782,129235890,en,False,False,False,2187394987,Conserative-Christian& Nationalist-White,"Developer, Business Man, Freedom Fighter. Trained as an Engineer and programmer. Amateur Smartass. #Puppies #MAGA #PATRIOT #CONSERVATIVE #foodie #happy",SE Pa.,5,2319,353,299,22,000000,000000,mrdavidswilliam,22426,False,0,0,0,0,2
32,1094937874590560256,"""People Can't Stop Meme-ing This Moment From Lady Gaga's Performance 😂""  https://t.co/wd3P3Gm1Zc",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,4.975,,,en,False,False,False,43989503,☠ Mad Skull ☠,"33 years old. An xbox Ambassador #MechWarrior , #seaofthieves #blackops4 , #GhostRecon , #stateofdecay2, #pubg, #fortnite . #ps4, #xbox #pcgaming","Jim Thorpe,Pa",9,22734,76,734,41,000000,000000,Mad_Skull,52592,False,0,0,0,1,0
33,1094937914872598529,@ladygaga is just truly amazing and she and #BradleyCooper should just get married 🙌🙏,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,4.625,,14230524,en,False,False,False,1470924750,Mandy,,"D-town, Pa",5,1209,176,560,3,C0DEED,333333,Ingram_moma,1482,False,1,0,0,0,1
34,1094937964289945600,Briefly considered sliding out in snow and crashing my car on purpose and completely out of pettiness and spite.,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,18.725,1094936972961955840,97520366,en,False,False,False,97520366,Aidan Obrecht,,,9,21131,737,637,4,C0DEED,333333,aidanobrecht,24200,False,0,0,0,0,0
35,1094938029788196866,"One day we’ll all be ghosts,
Trippin around someone else’s home.",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,1.875,,,en,False,False,False,27570730,Elisha G,"I came, I saw, I tweeted myself. 🐦💩 A prime example of inconsistency and nonsense! 🤓","Pennsylvania, USA",9,1868,66,127,3,39966C,B23E0A,Nrrrd_Grrrl87,567,False,0,0,0,0,0
36,1094938115481968640,@lolamare69 @EvilKiki_XXX @TheFoxyMistress @FeliceStevens1 @FeistyMama51 @HornDonky @XoAngieO @Kona201211… https://t.co/qU8ZDtXmb7,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,44.175000000000004,1094846230440656902,843844800201850880,en,False,False,True,854044276661080065,Helix lover.becca t.,"love Cocky Boys,Helix,and all things gay porn..LGBT friendly.Would love any followers...glad to make new friends..","Marianna,Pa.",1,126333,1749,455,6,F5F8FA,333333,BTylus,32217,False,0,0,0,1,8
37,1094938166904213504,@NDJimSmall That was beautiful - thanks for sharing! Confused tho as to why they are “women”?? Do we now play “men’s” basketball? 😏,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,28.55,1094799262779506689,108187832,en,False,False,False,56705364,Jill on Hawk Hill,So proud to be a Hawk!!,,9,2469,1124,506,6,C0DEED,333333,jbodenst,822,False,0,0,0,0,1
38,1094938178363031553,"It would be better if he arrested Ivanka, then TRUMP will blow a valve and give us the massive heart attack that en… https://t.co/ce8T8AAgfA",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,48.85,,,en,True,False,True,1658660360,sara paswell,"retired, working to legalize marijuana across the U.S. dog lover, nature lover, cancer survivor, pharmaceutical drug survivor. Get Trump OUT OF OUR WHITE HOUSE!",wampum pa.,5,24875,1747,2494,69,C0DEED,333333,saramax1007,17879,False,0,0,0,1,0
39,1094938192690757633,"History of Christianity in miniature

Breviaire de Bellville @GallicaBnF #medievaltwitter https://t.co/jiO8YzSY7d",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter Web Client,406.975,,,en,False,False,False,36247903,Emily Steiner,"Lover of all things medieval, culture-vulture, cock-eyed optimist. UPenn prof. https://upenn.academia.edu/EmilySteiner","Philadelphia, PA",9,30315,15121,8356,386,000000,000000,PiersatPenn,13237,False,1,1,0,0,1
40,1094938209413406722,TRAFFIC ALERT:The eastbound @PA_Turnpike has been closed between Reading and Morgantown exits due to a crash involv… https://t.co/UWi7ixka0n,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,36.550000000000004,,,en,False,False,True,28844878,Carl DeFebo,Director of PR and Marketing at PA Turnpike,"Harrisburg, Pa., USA",9,66,1363,3907,33,131516,333333,cdefebo,374,False,0,0,0,1,1
41,1094938216279478273,@Dax_x98 The Evil In Our Oval Office,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,0.35000000000000003,1094052135556268033,874106117886005249,en,False,False,False,857393006768517120,William Dierolf,,,1,3106,14,76,0,F5F8FA,333333,DierolfWilliam,1011,False,0,0,0,0,1
42,1094938290036330496,@SandaBlue And one of the things we were all talking about is how we all started relatively late in life and how it… https://t.co/omcdwpZqEX,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,70.27499999999999,1094937931045720065,2422702611,en,False,False,True,3293178390,Jim'sJunkBox,Driving around making deliveries of stuff to people around the country. I have a lot of time to let my mind wander. That's rarely a good thing.,Contiguous USA and Canada,3,188069,2562,3393,83,C0DEED,333333,JamesIsaak2,216046,False,0,0,0,1,1
43,1094938315604873223,"Is it fair to assume that ‘executive time’ , as defined by Liddle Donnie “Two Scoops”, is also how most other CEOs… https://t.co/tQKt30dmAo",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,23.375,,,en,True,False,True,116833829,P. Michael Weisser,,"Doylestown,Pa USA",9,15919,929,2758,2,C0DEED,333333,pmweisser,41931,False,0,0,0,1,0
44,1094938336748290048,"Leaders encourage.....support.....and yes even hug 🤗 from time to time!

#philnation
#Lefty",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,9.9,,,en,True,False,False,273069360,Shawn David Von Holtzman,Father : Teacher : Hunter : Jeep Enthusiast : Mentor *Opinions are my own*,McKean*Hilton Head*Topsail,7,321,375,332,7,C0DEED,333333,Fishinwizard,3270,False,2,0,0,0,0
45,1094938401957203969,"York Catholic is now CLOSED Monday, February 11. https://t.co/4I51iLK7yG",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,10.475,,,en,False,False,False,2800877915,York Catholic,"York Catholic High School is an accredited, co-educational school serving students in grades 7-12. #YCFaith #YCMind #YCHeart #YCFamily #IrishSpirit",York PA,4,12,395,18,8,C0DEED,333333,YorkCatholicHS,1284,False,0,1,0,0,0
46,1094938535939969025,"Me: needs to leave at 7:40
Also me: still walking around my apartment in my apartment in a bathrobe at 7:37",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,5.8500000000000005,,,en,False,False,False,3068241898,Jamie,,"Pennsylvania, USA",3,4748,234,651,0,C0DEED,333333,j_white53,4614,False,0,0,0,0,0
47,1094938722976567297,@Karnythia Wow. I thought they messed up the order of the before and after photos. That is deeply sad.,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for Android,16.400000000000002,1094850502830014464,100136358,en,False,False,False,262168753,Gillian,"Politics/media junkie, super-geek, intersectional feminist, activist, @seiuhpca organizer, @penn_state & @GSPMgwu grad - All opinions are my own",Central Pennsylvania,7,13834,578,1482,26,000000,000000,LiberallyG,16974,False,0,0,0,0,1
50,1094938946566418433,We are open for our regular schedule today.  Please remember older siblings must sit in the lobby during class. If… https://t.co/u3QRPJPXIM,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Instagram,2.0500000000000003,,,en,False,False,True,151456592,Mygymyardley,,"Yardley, PA",8,4,76,134,2,C0DEED,333333,mygymyardley,2058,False,0,0,0,1,0
52,1094939041328287747,#myviewrightnow early morning waking up to this view @Shaheer_S #shaheernsheikh #shaheersheikh #photoshoot #love @… https://t.co/kInmJBH4UC,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Instagram,11.275,,,en,False,False,True,883795640161103872,Nabila Asad Khawaja😈,"Human, survivor, Fighter and a proud single mother of a beautiful son👩‍👦 #Fan Account #shaheersheikh @shaheer_s","Pennsylvania, USA",1,54559,451,139,0,F5F8FA,333333,NabilaKhawaja,38132,False,5,0,0,1,1
53,1094939063495335937,No matter how many times we do snow coverage NOTHING will ever top @KeeleyFox29 vs a snowplow! @FOX29philly… https://t.co/5jdZ4cZr29,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,236.75,,,en,False,False,True,15225605,Bill Anderson,@Fox29Philly #ForGoodnessSake reporter/host. It's my passion to find people making a difference in society & tell their story! Bill.Anderson@FoxTV.com,"Philadelphia, PA",10,4304,8480,3375,330,041D1E,5C3809,BillAFox29,33640,True,0,0,0,1,2
55,1094939387954192384,Mornin'! Have a great day y'all ❤ https://t.co/2HbimIdtOr,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,Eastern Ontario,0122d70a580276bf,TweetCaster for Android,3.6250000000000004,,,en,False,False,False,276212647,Wendy Lavalley,"Music - TRADITIONAL Country & Bluegrass - is my heartbeat, writing is my passion & I'm a diehard fan of Curling, Blue Jays Baseball & #RookieBlue","Lake St. Peter, ON",7,469,136,769,3,FFFFFF,333333,WendyLavalley,5861,False,0,1,0,0,0
56,1094939391502548998,Mornin'! Have a great day y'all ❤ https://t.co/HmwDqqhIS5,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,Eastern Ontario,0122d70a580276bf,TweetCaster for Android,11.325,,,en,False,False,False,908527297,Wendy Lavalley,"Music - Fiddle/Steel guitar Country & Bluegrass - is my heartbeat, writing is my passion, #RookieBlue is my TV addiction & #McSwarek is THE ship","Lake St. Peter, ON Canada",6,5858,405,603,16,C0DEED,333333,RBfan4ever,55209,False,0,1,0,0,0
57,1094939427414122497,How my body responds to me drinking energy drinks on an empty stomach https://t.co/WbF12FiJxP,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,15.500000000000002,,,en,False,False,False,3995589808,Ball out culture,I need top brother @highwaterhc,Baltimore/Lancaster,3,48985,608,314,4,C0DEED,333333,lightskinhxc,15004,False,0,1,0,0,0
61,1094939702728237056,So are public libraries thats also socialist,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for Android,15.975,,,en,True,False,False,36881789,James Davis,I am A psychic/Medium and practicing witch. I do not support organized religion of any kind.,"Erie, PA",9,30338,450,322,63,022330,333333,babylon151,135947,False,0,0,0,0,0
62,1094939706490535944,me when my father isn’t in his office,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,24.85,,,en,True,False,False,239890436,Brooke Yerger 🌻,acsb • acfh • John 13:7 • sc: brookeyerger,"Boyertown, PA",8,14186,985,561,3,642D8B,3D1957,byergs,22683,False,0,0,0,0,0
63,1094939745610878976,My nose hurts,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,18.6,,,en,False,False,False,702216300,casual savage™,Just wanna do hoodrat stuff with my friends. ✊🏾. ---IG:hermanbriggs *⁶* ---Snap: bigdaddybriggs,3rd Floor Oak,6,25352,741,694,1,C0DEED,333333,BigDaddyBriggz,19471,False,0,0,0,0,0
64,1094939769241587714,@SandaBlue Several of us were talking about how it would’ve been great to have started when we are much younger but… https://t.co/1GnzFrlTZh,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,70.27499999999999,1094937931045720065,2422702611,en,False,False,True,3293178390,Jim'sJunkBox,Driving around making deliveries of stuff to people around the country. I have a lot of time to let my mind wander. That's rarely a good thing.,Contiguous USA and Canada,3,188069,2562,3393,83,C0DEED,333333,JamesIsaak2,216047,False,0,0,0,1,1
65,1094939780608086016,@TheTrumpLady @BattleBornThom @KNP2BP @ReneeCarrollAZ @AnnaApp91838450 @AD_WHITMAN @robjh1 @ROHLL5 @Harley_1955… https://t.co/Vb1SmPbOA6,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Twitter for iPhone,1269.1750000000002,1086138621025894400,717627639159128064,en,False,False,True,775625838385569796,Chris Moore,"I love God,Country, family #backtheblue #ProTRUMP #2A #Military support #MAGA Conservative . aircraft Tech..",,2,125287,50659,50330,36,F5F8FA,333333,ChrisMo37540912,101458,False,0,0,0,1,9
66,1094939786899611649,I’m over school,7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Erie, PA",29aaa88d9fe74b50,Twitter for iPhone,7.4750000000000005,,,en,False,False,False,3381882167,Morgan Moran,EUP’20 • snap: morganjamiee,"Erie, PA",3,2047,299,255,0,C0DEED,333333,morgannjamiee,5108,False,0,0,0,0,0
67,1094939862539546627,"... today on centralpalive on wtajnews at 4 PM as I show @alexhazardabc50 how to cast moulds with some ""Amazing"" pr… https://t.co/nR208fJO2m",7,Mon,2019-02-11 07:55:38.984121,11,1,1,0,0,"Pennsylvania, USA",dd9c503d6c35364b,Instagram,1.8250000000000002,,,en,False,False,True,2573586984,LaVintage Decor,Central Pennsylvania's only Vintage and Repurposed Design Company,"Altoona, PA",4,11,73,99,0,C0DEED,333333,LavintageDecor,1915,False,0,0,0,1,1
